0	0.1	0.3	0.5	0.8
449.5380905576	308.0005033854	619.9994926684	285.5278100293	261.9662372906
163.0842851654	188.833613852	360.7160781221	363.8947039216	323.0336779795
425.1440127486	294.1289088336	416.0929188381	689.7225737579	677.5193810055
221.8907970685	685.1154590873	594.9338471301	154.0482463454	528.4253503164
529.5805018715	402.2254925756	426.8989279159	429.4969101599	475.8028219134
440.7911818693	401.1888079702	485.1672829923	283.4382167158	397.3858635423
340.9085551712	178.9264281361	423.8260002871	234.4513055936	344.3371573209
23.6502395822	270.8902641337	322.814360702	489.3125462584	541.6085338193
222.5824504526	640.4342533283	210.2769881422	420.9200268536	370.5246617059
29.7904122602	156.8556043652	476.0404453959	385.6987822515	393.4346414231
247.9444868661	330.0827545593	499.4681687855	404.0789385372	333.8911449077
249.7217016484	234.3494341063	300.785731458	266.5257476699	574.0537333385
149.9706131952	587.1905451356	661.7358997799	506.1501553027	448.0042998526
335.4587622249	428.5987114822	133.1747415174	305.4587797342	682.9260118644
362.5352063877	560.0852121245	575.3824953813	573.9907125801	269.0252111375
433.0912114851	222.0152472169	312.9688801572	485.6932947552	345.0213124371
299.3603364303	273.9640587686	298.268592586	337.9283729694	197.6473538394
176.4434506246	226.8061827718	291.3729299749	342.9970495248	-144
298.7674939852	317.4467605833	592.1710532302	259.1766543836	314.7647698007
370.092709123	619.149403597	349.850452073	340.180844385	306.9265313392
273.8384335157	108.7059721764	381.6565438252	456.8326506572	356.5802707907
474.1541709465	423.4946527685	348.9776081142	301.627956958	325.4414445848
437.315196125	340.0626099266	320.5306427449	208.1033310191	687.5520924668
257.05544665	211.0174099045	197.0533269785	296.0447355355	558.3323367773
640.5460042832	459.2339080711	214.927779384	335.2296305536	366.5208184888
329.9693675426	519.2396334975	574.0021654819	269.3030448798	510.6654044027
281.1026523909	166.6918502989	306.2658229606	244.1928714352	217.3680753465
174.4909635187	570.268863509	181.3683172508	443.4266161234	293.7499737816
291.6398496075	247.8043258374	327.8745727615	258.849694117	469.2914329884
